Time,Time Code,Country Name,Country Code,"Patent applications, residents [IP.PAT.RESD]",Medium and high-tech exports (% manufactured exports) [TX.MNF.TECH.ZS.UN]
2016,YR2016,"Macao SAR, China",MAC,..,0
2016,YR2016,Madagascar,MDG,6,5.09648882521369
2016,YR2016,Malawi,MWI,3,28.6294677074979
2016,YR2016,Malaysia,MYS,1109,62.4665488078566
2016,YR2016,Maldives,MDV,..,1.64859664391533
2016,YR2016,Mali,MLI,..,..
2016,YR2016,Malta,MLT,3,57.7332695332564
2016,YR2016,Marshall Islands,MHL,..,..
2016,YR2016,Mauritania,MRT,..,..
2016,YR2016,Mauritius,MUS,2,4.63662988266237
2016,YR2016,Mexico,MEX,1310,80.754958782151
2016,YR2016,"Micronesia, Fed. Sts.",FSM,..,..
2016,YR2016,Moldova,MDA,91,28.7286953133326
2016,YR2016,Monaco,MCO,7,..
2016,YR2016,Mongolia,MNG,112,5.57639408116266
2016,YR2016,Montenegro,MNE,10,24.7430232449389
2016,YR2016,Morocco,MAR,237,55.1572594780691
2016,YR2016,Mozambique,MOZ,15,56.111293527661
2016,YR2016,Myanmar,MMR,..,19.3571400193703
2016,YR2016,Namibia,NAM,18,4.01359761173865
2016,YR2016,Nauru,NRU,..,..
2016,YR2016,Nepal,NPL,11,18.022891567944
2016,YR2016,Netherlands,NLD,2290,55.6787979032737
2016,YR2016,New Caledonia,NCL,..,..
2016,YR2016,New Zealand,NZL,1075,18.8010608383559
2016,YR2016,Nicaragua,NIC,..,26.7461157983693
2016,YR2016,Niger,NER,..,7.3136396399718
2016,YR2016,Nigeria,NGA,85,11.5162154378423
2016,YR2016,North Macedonia,MKD,..,59.5147547296516
2016,YR2016,Northern Mariana Islands,MNP,..,..
2016,YR2016,Norway,NOR,1227,55.0995437819502
2016,YR2016,Oman,OMN,3,36.0124551236976
2016,YR2016,Pakistan,PAK,204,9.07403873572274
2016,YR2016,Palau,PLW,..,..
2016,YR2016,Panama,PAN,68,4.70493879188947
2016,YR2016,Papua New Guinea,PNG,..,8.06340968840426
2016,YR2016,Paraguay,PRY,..,22.8033410040096
2016,YR2016,Peru,PER,72,5.68293228133049
2016,YR2016,Philippines,PHL,327,76.7551960270936
2016,YR2016,Poland,POL,4261,55.8037963129755
2016,YR2016,Portugal,PRT,724,40.6617663610157
2016,YR2016,Puerto Rico,PRI,..,..
2016,YR2016,Qatar,QAT,16,40.9724764608854
2016,YR2016,Romania,ROU,1005,60.7531950198748
2016,YR2016,Russian Federation,RUS,26795,29.9219594833804
2016,YR2016,Rwanda,RWA,3,11.9183220514868
2016,YR2016,Samoa,WSM,..,..
2016,YR2016,San Marino,SMR,12,..
2016,YR2016,Sao Tome and Principe,STP,..,..
2016,YR2016,Saudi Arabia,SAU,1070,36.1531713964356
2016,YR2016,Senegal,SEN,..,16.719428974523
2016,YR2016,Serbia,SRB,192,47.0255363622347
2016,YR2016,Seychelles,SYC,..,..
2016,YR2016,Sierra Leone,SLE,..,..
2016,YR2016,Singapore,SGP,1601,71.689331740408
2016,YR2016,Sint Maarten (Dutch part),SXM,..,..
2016,YR2016,Slovak Republic,SVK,220,71.6892672541772
2016,YR2016,Slovenia,SVN,..,63.6439411793727
2016,YR2016,Solomon Islands,SLB,..,..
2016,YR2016,Somalia,SOM,..,..
2016,YR2016,South Africa,ZAF,704,50.5645329577745
2016,YR2016,South Sudan,SSD,..,..
2016,YR2016,Spain,ESP,2745,58.0854358129008
2016,YR2016,Sri Lanka,LKA,280,7.91825148392971
2016,YR2016,St. Kitts and Nevis,KNA,..,..
2016,YR2016,St. Lucia,LCA,5,39.6798223220877
2016,YR2016,St. Martin (French part),MAF,..,..
2016,YR2016,St. Vincent and the Grenadines,VCT,..,..
2016,YR2016,Sudan,SDN,284,..
2016,YR2016,Suriname,SUR,..,11.3483460774604
2016,YR2016,Sweden,SWE,2032,60.7363267343944
2016,YR2016,Switzerland,CHE,1462,71.3556616585835
2016,YR2016,Syrian Arab Republic,SYR,..,22.6882301875185
2016,YR2016,Tajikistan,TJK,..,20.0982657177571
2016,YR2016,Tanzania,TZA,..,11.7098210788094
2016,YR2016,Thailand,THA,1098,63.8089512352853
2016,YR2016,Timor-Leste,TLS,..,..
2016,YR2016,Togo,TGO,..,..
2016,YR2016,Tonga,TON,..,23.4548183224451
2016,YR2016,Trinidad and Tobago,TTO,3,34.5123941527839
2016,YR2016,Tunisia,TUN,235,51.8670204887388
2016,YR2016,Turkiye,TUR,6230,44.3465481579063
2016,YR2016,Turkmenistan,TKM,..,..
2016,YR2016,Turks and Caicos Islands,TCA,..,..
2016,YR2016,Tuvalu,TUV,..,..
2016,YR2016,Uganda,UGA,16,20.8550730317118
2016,YR2016,Ukraine,UKR,2233,35.5759679078742
2016,YR2016,United Arab Emirates,ARE,57,21.6086916183822
2016,YR2016,United Kingdom,GBR,13876,70.4940183472946
2016,YR2016,United States,USA,295327,65.7437305439928
2016,YR2016,Uruguay,URY,..,22.5529496006926
2016,YR2016,Uzbekistan,UZB,353,36.7353551898662
2016,YR2016,Vanuatu,VUT,..,..
2016,YR2016,"Venezuela, RB",VEN,35,9.6520655499036
2016,YR2016,Vietnam,VNM,560,51.2535604041548
2016,YR2016,Virgin Islands (U.S.),VIR,..,..
2016,YR2016,West Bank and Gaza,PSE,..,12.6802127263659
2016,YR2016,"Yemen, Rep.",YEM,16,35.4849119006986
2016,YR2016,Zambia,ZMB,15,45.3541575739632
2016,YR2016,Zimbabwe,ZWE,8,14.7945320592631
2016,YR2016,Africa Eastern and Southern,AFE,..,..
2016,YR2016,Africa Western and Central,AFW,..,..
2016,YR2016,Arab World,ARB,..,..
2016,YR2016,Caribbean small states,CSS,..,..
2016,YR2016,Central Europe and the Baltics,CEB,..,..
2016,YR2016,Early-demographic dividend,EAR,..,..
2016,YR2016,East Asia & Pacific,EAS,1638504,..
2016,YR2016,East Asia & Pacific (excluding high income),EAP,..,..
2016,YR2016,East Asia & Pacific (IDA & IBRD countries),TEA,..,..
2016,YR2016,Euro area,EMU,..,..
2016,YR2016,Europe & Central Asia,ECS,224785,..
2016,YR2016,Europe & Central Asia (excluding high income),ECA,..,..
2016,YR2016,Europe & Central Asia (IDA & IBRD countries),TEC,..,..
2016,YR2016,European Union,EUU,..,..
2016,YR2016,Fragile and conflict affected situations,FCS,..,..
2016,YR2016,Heavily indebted poor countries (HIPC),HPC,..,..
2016,YR2016,High income,HIC,917400,..
2016,YR2016,IBRD only,IBD,..,..
2016,YR2016,IDA & IBRD total,IBT,..,..
2016,YR2016,IDA blend,IDB,..,..
2016,YR2016,IDA only,IDX,..,..
2016,YR2016,IDA total,IDA,..,..
2016,YR2016,Late-demographic dividend,LTE,..,..
2016,YR2016,Latin America & Caribbean,LCN,8674,..
2016,YR2016,Latin America & Caribbean (excluding high income),LAC,..,..
2016,YR2016,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..
2016,YR2016,Least developed countries: UN classification,LDC,..,..
2016,YR2016,Low & middle income,LMY,..,..
2016,YR2016,Low income,LIC,600,..
2016,YR2016,Lower middle income,LMC,35100,..
2016,YR2016,Middle East & North Africa,MEA,19220,..
2016,YR2016,Middle East & North Africa (excluding high income),MNA,..,..
2016,YR2016,Middle East & North Africa (IDA & IBRD countries),TMN,..,..
2016,YR2016,Middle income,MIC,..,..
2016,YR2016,North America,NAC,299405,..
2016,YR2016,Not classified,INX,..,..
2016,YR2016,OECD members,OED,..,..
2016,YR2016,Other small states,OSS,..,..
2016,YR2016,Pacific island small states,PSS,..,..
2016,YR2016,Post-demographic dividend,PST,..,..
2016,YR2016,Pre-demographic dividend,PRE,..,..
2016,YR2016,Small states,SST,..,..
2016,YR2016,South Asia,SAS,13775,..
2016,YR2016,South Asia (IDA & IBRD),TSA,..,..
2016,YR2016,Sub-Saharan Africa,SSF,1485,..
2016,YR2016,Sub-Saharan Africa (excluding high income),SSA,..,..
2016,YR2016,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..
2016,YR2016,Upper middle income,UMC,1253900,..
2016,YR2016,World,WLD,2207100,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 03/30/2023,,,,,
